Pick,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7,Round 8,Round 9,QBs in Final 9,RBs in Final 9,WRs in Final 9,TEs in Final 9,Average Points
4th,RB,WR,WR,TE,QB,WR,RB,WR,RB,0,3,2,0,80.5
6th,RB,WR,WR,TE,QB,WR,RB,WR,RB,0,3,2,0,80.2
4th,RB,RB,TE,WR,QB,WR,WR,WR,WR,0,4,1,0,80.2
9th,RB,RB,TE,QB,WR,WR,WR,WR,WR,0,4,1,0,80.2
4th,RB,RB,WR,WR,QB,TE,RB,WR,RB,0,1,4,0,80.1
1st,RB,WR,WR,QB,RB,RB,RB,RB,RB,0,0,3,2,79.9
4th,RB,RB,WR,QB,WR,TE,RB,WR,WR,0,3,2,0,79.8
4th,RB,RB,TE,QB,RB,WR,WR,WR,WR,0,3,2,0,79.6
1st,RB,RB,WR,TE,WR,WR,WR,QB,RB,0,2,2,1,79.6
4th,RB,RB,TE,QB,WR,WR,WR,WR,WR,0,4,1,0,79.5
4th,RB,WR,WR,WR,QB,TE,WR,RB,RB,0,3,2,0,79.3
4th,RB,TE,WR,WR,QB,WR,RB,WR,RB,0,2,3,0,79.3
4th,WR,RB,TE,WR,QB,WR,RB,WR,WR,0,3,1,1,79.1
6th,RB,WR,RB,WR,TE,RB,QB,WR,RB,0,2,3,0,79.1
1st,RB,TE,WR,WR,WR,QB,RB,RB,RB,2,1,2,0,79.1
6th,RB,RB,RB,WR,WR,WR,QB,RB,TE,0,1,3,1,79
4th,RB,TE,WR,WR,WR,QB,RB,RB,RB,2,1,2,0,79
1st,RB,WR,WR,TE,QB,WR,RB,WR,RB,0,3,2,0,78.9
9th,RB,RB,QB,TE,WR,WR,WR,WR,WR,0,4,1,0,78.9
6th,RB,WR,WR,RB,WR,RB,QB,TE,WR,0,2,2,1,78.9
4th,RB,RB,WR,WR,WR,TE,QB,RB,RB,0,2,3,0,78.8
6th,RB,TE,WR,WR,WR,WR,QB,RB,RB,0,3,2,0,78.8
6th,RB,RB,WR,TE,WR,RB,QB,RB,RB,1,0,4,0,78.8
1st,RB,TE,WR,WR,QB,WR,RB,WR,RB,0,2,3,0,78.8
4th,RB,RB,WR,RB,WR,QB,WR,WR,WR,0,2,1,2,78.7
6th,RB,RB,RB,TE,QB,WR,WR,WR,WR,0,3,2,0,78.7
4th,RB,RB,RB,QB,TE,WR,WR,WR,WR,0,1,4,0,78.7
4th,TE,RB,WR,WR,QB,WR,RB,RB,WR,0,3,2,0,78.7
6th,RB,RB,WR,WR,WR,TE,QB,RB,RB,0,2,3,0,78.7
6th,RB,RB,WR,QB,WR,TE,RB,WR,WR,0,3,2,0,78.7
4th,WR,RB,WR,RB,QB,WR,TE,RB,WR,0,3,2,0,78.7
6th,RB,WR,WR,RB,TE,QB,WR,RB,WR,0,3,2,0,78.7
9th,RB,WR,WR,QB,WR,WR,TE,WR,WR,0,5,0,0,78.7
12th,WR,RB,RB,TE,RB,WR,QB,WR,WR,0,3,2,0,78.6
4th,RB,RB,RB,TE,QB,WR,WR,WR,WR,0,3,2,0,78.6
1st,RB,WR,WR,RB,TE,QB,WR,RB,WR,0,3,2,0,78.6
6th,RB,TE,RB,WR,QB,WR,WR,WR,RB,2,2,1,0,78.6
1st,RB,RB,WR,WR,WR,WR,WR,TE,QB,1,2,1,1,78.6
1st,RB,RB,WR,TE,WR,RB,QB,RB,RB,1,0,4,0,78.6
6th,RB,RB,WR,TE,WR,WR,WR,QB,RB,0,2,2,1,78.5
6th,RB,TE,WR,WR,QB,WR,RB,WR,RB,0,2,3,0,78.5
6th,WR,RB,TE,WR,QB,WR,RB,WR,WR,0,3,1,1,78.5
6th,WR,WR,WR,TE,RB,RB,QB,RB,TE,0,2,2,1,78.5
1st,RB,WR,WR,WR,QB,TE,WR,RB,RB,0,3,2,0,78.5
12th,WR,RB,TE,WR,QB,WR,RB,WR,WR,0,3,1,1,78.5
6th,RB,TE,RB,RB,WR,WR,QB,WR,WR,1,2,2,0,78.5
6th,RB,WR,WR,QB,WR,WR,TE,WR,WR,0,5,0,0,78.4
